QtlID	TraitOriginalName	TraitAnnotation	TraitAnnotationID	Property	ProAnnotation	ProAnnotationID	ActualProValue	pmcId	tableId
PMC4321030_TABLE 2_44	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_45	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_46	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_47	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_48	Fruit height	fruit length	http://purl.obolibrary.org/obo/TO_0002626	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_49	Fruit height	fruit length	http://purl.obolibrary.org/obo/TO_0002626	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_50	Fruit width	fruit width	http://purl.obolibrary.org/obo/TO_0002627	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_51	Fruit width	fruit width	http://purl.obolibrary.org/obo/TO_0002627	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_52	Fruit shape	fruit shape	http://purl.obolibrary.org/obo/TO_0002628	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_53	Fruit shape	fruit shape	http://purl.obolibrary.org/obo/TO_0002628	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At2g14260-TG400	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_54	Fruit size	fruit size	http://purl.obolibrary.org/obo/TO_0002625	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_55	Fruit size	fruit size	http://purl.obolibrary.org/obo/TO_0002625	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_56	Fruit weight	fruit weight	http://purl.obolibrary.org/obo/TO_0002746	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_57	Fruit weight	fruit weight	http://purl.obolibrary.org/obo/TO_0002746	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At1g44790-TG400	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_58	Seed weight	seed weight	http://purl.obolibrary.org/obo/TO_0000181	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_59	Seed weight	seed weight	http://purl.obolibrary.org/obo/TO_0000181	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_60	oBrix	oBrix		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_61	oBrix	oBrix		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_62	Canopy density	plant canopy	http://purl.obolibrary.org/obo/SP_0000236	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_63	Canopy density	plant canopy	http://purl.obolibrary.org/obo/SP_0000236	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_64	Plant habit	plant habit	http://purl.obolibrary.org/obo/SP_0000003	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_65	Plant habit	plant habit	http://purl.obolibrary.org/obo/SP_0000003	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_66	Plant height	plant height	http://purl.obolibrary.org/obo/TO_0000207	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_67	Plant height	plant height	http://purl.obolibrary.org/obo/TO_0000207	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_68	Plant width	plant width	http://purl.obolibrary.org/obo/TO_0006062	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g22260	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_69	Plant width	plant width	http://purl.obolibrary.org/obo/TO_0006062	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1-C2_At1g21690	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_70	Plant shape	Plant shape		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_71	Plant shape	Plant shape		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 2
