entity_uri ,entity_name 
http://purl.obolibrary.org/obo/PO_0025613 ,spine petiole 
http://purl.obolibrary.org/obo/PO_0020042 ,simple leaf 
http://purl.obolibrary.org/obo/PO_0025061 ,tuber perimedullary zone 
http://purl.obolibrary.org/obo/PO_0001170 ,seed development stage 
http://purl.obolibrary.org/obo/PO_0009045 ,involucral bract 
http://purl.obolibrary.org/obo/PO_0025600 ,staminate flower 
http://purl.obolibrary.org/obo/PO_0004704 ,sepal primordium 
http://purl.obolibrary.org/obo/PO_0025544 ,microsporangium tapetum cell 
http://purl.obolibrary.org/obo/PO_0009006 ,shoot system 
http://purl.obolibrary.org/obo/PO_0006416 ,pedicel of tassel spikelet 
http://purl.obolibrary.org/obo/PO_0007130 ,sporophyte reproductive stage 
http://purl.obolibrary.org/obo/PO_0020035 ,epicotyl 
http://purl.obolibrary.org/obo/PO_0009040 ,sterile lemma 
http://purl.obolibrary.org/obo/PO_0025487 ,bract primordium 
http://purl.obolibrary.org/obo/PO_0020145 ,lateral meristem 
http://purl.obolibrary.org/obo/PO_0004546 ,epicormic shoot system 
http://purl.obolibrary.org/obo/PO_0025557 ,endarch protoxylem 
http://purl.obolibrary.org/obo/PO_0003004 ,haustorial root 
http://purl.obolibrary.org/obo/PO_0025552 ,centarch protoxylem 
http://purl.obolibrary.org/obo/PO_0020030 ,cotyledon 
http://purl.obolibrary.org/obo/PO_0025036 ,tuber storage parenchyma 
http://purl.obolibrary.org/obo/PO_0005426 ,chlorenchyma 
http://purl.obolibrary.org/obo/PO_0006060 ,filament epidermis 
http://purl.obolibrary.org/obo/PO_0009036 ,lodicule 
http://purl.obolibrary.org/obo/PO_0025389 ,intercuticular wax 
http://purl.obolibrary.org/obo/PO_0025424 ,vascular tissue development stage 
http://purl.obolibrary.org/obo/PO_0009058 ,perianth 
http://purl.obolibrary.org/obo/PO_0025525 ,spermatogenous cell 
http://purl.obolibrary.org/obo/PO_0008034 ,leaf whorl 
http://purl.obolibrary.org/obo/PO_0007120 ,LP.19 nineteen leaves visible stage 
http://purl.obolibrary.org/obo/PO_0009028 ,microsporophyll 
http://purl.obolibrary.org/obo/PO_0025259 ,leaf procambium 
http://purl.obolibrary.org/obo/PO_0006084 ,portion of transfusion tissue 
http://purl.obolibrary.org/obo/PO_0000009 ,cultured plant callus 
http://purl.obolibrary.org/obo/PO_0025582 ,fused calyx 
http://purl.obolibrary.org/obo/PO_0006016 ,leaf epidermis 
http://purl.obolibrary.org/obo/PO_0007114 ,SE.11 eleven nodes or internodes visible stage 
http://purl.obolibrary.org/obo/PO_0009054 ,inflorescence bract 
http://purl.obolibrary.org/obo/PO_0005621 ,angular collenchyma 
http://purl.obolibrary.org/obo/PO_0025195 ,pollen tube cell 
http://purl.obolibrary.org/obo/PO_0006367 ,glume of ear spikelet 
http://purl.obolibrary.org/obo/PO_0025364 ,branch tendril 
http://purl.obolibrary.org/obo/PO_0025485 ,sepal anlagen 
http://purl.obolibrary.org/obo/PO_0025052 ,tuber pith 
http://purl.obolibrary.org/obo/PO_0007071 ,2.02 main shoot and axillary shoots visible at two nodes stage 
http://purl.obolibrary.org/obo/PO_0008038 ,adventitious root primordium 
http://purl.obolibrary.org/obo/PO_0007062 ,SE.06 six nodes or internodes visible stage 
http://purl.obolibrary.org/obo/PO_0000048 ,leaf lamina vascular system 
http://purl.obolibrary.org/obo/PO_0025293 ,seedling epicotyl 
http://purl.obolibrary.org/obo/PO_0000273 ,xylem element 
http://purl.obolibrary.org/obo/PO_0007118 ,2.06 main shoot and axillary shoots visible at six nodes stage 
http://purl.obolibrary.org/obo/PO_0009067 ,filament 
http://purl.obolibrary.org/obo/PO_0020099 ,microgametophyte vegetative cell 
http://purl.obolibrary.org/obo/PO_0025356 ,bulb 
http://purl.obolibrary.org/obo/PO_0007133 ,leaf production stage 
