 "entity_uri" , "entity_name" , "syn" ,
 "http://purl.obolibrary.org/obo/PO_0007120" , "LP.19 nineteen leaves visible stage" , "3.4 late vegetative in maize" ,
 "http://purl.obolibrary.org/obo/PO_0007120" , "LP.19 nineteen leaves visible stage" , "maize growth stage-3.4" ,
 "http://purl.obolibrary.org/obo/PO_0007120" , "LP.19 nineteen leaves visible stage" , "late vegetative in maize" ,
 "http://purl.obolibrary.org/obo/PO_0007120" , "LP.19 nineteen leaves visible stage" , "3.4 late vegetative stage of maize" ,
 "http://purl.obolibrary.org/obo/PO_0007120" , "LP.19 nineteen leaves visible stage" , "Stage V18 in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007114" , "SE.11 eleven nodes or internodes visible stage" , "3.4 late vegetative" ,
 "http://purl.obolibrary.org/obo/PO_0007114" , "SE.11 eleven nodes or internodes visible stage" , "3.11 11 nodes/internodes visible in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0009054" , "inflorescence bract" , "husk leaf" ,
 "http://purl.obolibrary.org/obo/PO_0009054" , "inflorescence bract" , "corn husk" ,
 "http://purl.obolibrary.org/obo/PO_0009054" , "inflorescence bract" , "husk" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "2.02 main shoot and axillary shoots visible at two nodes in Solanaceae" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "BBCH growth stage 22" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "main shoot and second tiller visible" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "main shoot and two tillers in oat" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "Zadok scale-22" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "main shoot and 2 tillers" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "main shoot and two tillers in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "second tiller detectable" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "main shoot and two tillers in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "second axillary shoot detectable" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "3.03-main shoot and two tillers" ,
 "http://purl.obolibrary.org/obo/PO_0007071" , "2.02 main shoot and axillary shoots visible at two nodes stage" , "2.02 Main shoot and axillary shoots visible at 2 nodes in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007062" , "SE.06 six nodes or internodes visible stage" , "4.07-sixth node detectable in oat" ,
